,article_name,article_quality,country,population,revision_id
323,Rosemary Seninde,Start,Uganda,44.1,758567928
324,Gerald Ssendaula,C,Uganda,44.1,759366517
325,Juma Oris,Stub,Uganda,44.1,759378614
326,Godfrey Kiwanda,Stub,Uganda,44.1,759877869
327,Geoffrey Onegi Obel,Start,Uganda,44.1,760056661
328,Tom Butime,Start,Uganda,44.1,760181848
329,Dennis Galabuzi Ssozi,Start,Uganda,44.1,760184747
330,Ken Lukyamuzi,Stub,Uganda,44.1,763247419
331,Victoria Sekitoleko,C,Uganda,44.1,766481345
332,Emmanuel Otala,Start,Uganda,44.1,766665157
333,Kabakumba Masiko,C,Uganda,44.1,770316807
334,Innocent Oula,Start,Uganda,44.1,771724283
335,Isaac Mulindwa,Start,Uganda,44.1,773245217
336,Hope Mwesigye,Start,Uganda,44.1,773870932
337,Katikkiro of Buganda,Stub,Uganda,44.1,774683767
338,Daudi Cwa II of Buganda,Start,Uganda,44.1,774683907
339,Ssuuna II of Buganda,Start,Uganda,44.1,774684052
340,Kamaanya of Buganda,Start,Uganda,44.1,774684080
341,Semakookiro of Buganda,Start,Uganda,44.1,774684109
342,Jjunju of Buganda,Start,Uganda,44.1,774684124
343,Kato Kintu,Stub,Uganda,44.1,774684195
344,Chwa I of Buganda,Start,Uganda,44.1,774684228
345,Kyabaggu of Buganda,Start,Uganda,44.1,774830237
346,Kiweewa of Buganda,Start,Uganda,44.1,774831268
347,Ismael Orot,Stub,Uganda,44.1,775522497
348,James Obita,Stub,Uganda,44.1,775995921
349,Janat Mukwaya,Start,Uganda,44.1,776107670
350,Besueri Kiwanuka Lusse Mulondo,Start,Uganda,44.1,776344991
351,Jeremiah Twa-Twa,Start,Uganda,44.1,776491782
352,Joyce Kakuramatsi Kikafunda,Stub,Uganda,44.1,777643576
353,Kania Obiga,Stub,Uganda,44.1,778265355
354,Apollo Kironde,Stub,Uganda,44.1,778598971
355,Kibirige Mayanja,Start,Uganda,44.1,778840186
356,Kintu Musoke,Start,Uganda,44.1,779007768
357,Jessica Alupo,Start,Uganda,44.1,779397351
358,Rebecca Amuge Otengo,Start,Uganda,44.1,779397437
359,Syda Bbumba,Start,Uganda,44.1,779397532
360,Alintuma Nsambu,Stub,Uganda,44.1,781605803
361,Esther Mbulakubuza Mbayo,Start,Uganda,44.1,781789704
362,Abdul Nadduli,Stub,Uganda,44.1,782460126
363,Moses Kizige,Start,Uganda,44.1,782979760
364,Maria Kiwanuka,Start,Uganda,44.1,783449036
365,Elijah Mushemeza,Start,Uganda,44.1,784734768
366,Michael Lulume Bayigga,Start,Uganda,44.1,784768216
367,Deo Rwabiita,Stub,Uganda,44.1,785038536
368,Daudi Ochieng,Stub,Uganda,44.1,785108122
369,Joy Kabatsi,Start,Uganda,44.1,785339072
370,Joshua Wanume Kibedi,C,Uganda,44.1,785862055
371,Kizza Besigye,C,Uganda,44.1,786081128
372,Apolo Kagwa,C,Uganda,44.1,786226893
373,Michael Kawalya Kagwa,Stub,Uganda,44.1,787306486
374,Abed Bwanika,Start,Uganda,44.1,787410566
375,Aggrey Awori,C,Uganda,44.1,787858057
376,Aggrey Bagiire,Stub,Uganda,44.1,787858062
377,Agnes Akiror,Start,Uganda,44.1,787870163
378,Namirembe Bitamazire,Start,Uganda,44.1,788019797
379,Amon Bazira,Stub,Uganda,44.1,788899061
380,Christopher Iga,Stub,Uganda,44.1,788972378
381,Nasser Sebaggala,Start,Uganda,44.1,788972461
382,Erias Lukwago,Start,Uganda,44.1,788972566
383,Template:KampalaMayors,Stub,Uganda,44.1,788972642
384,Beatrice Wabudeya,Start,Uganda,44.1,789747515
385,Jane Aceng,C,Uganda,44.1,789747629
386,Ruth Achieng,Stub,Uganda,44.1,789747664
387,Justine Ayebazibwe,Stub,Uganda,44.1,789748037
388,Jessica Eriyo,Start,Uganda,44.1,789748269
389,Mary Karooro Okurut,Start,Uganda,44.1,789748670
390,Adrian Tibaleka,Stub,Uganda,44.1,789748752
